Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Total shots_home,Total shots_away,Shots on target_home,Shots on target_away,Big Chances_home,Big Chances_away,Corner Kicks_home,Corner Kicks_away,Passes_home,Passes_away,Yellow Cards_home,Yellow Cards_away,xG on target (xGOT)_home,xG on target (xGOT)_away,Shots off target_home,Shots off target_away,Blocked Shots_home,Blocked Shots_away,Shots inside the Box_home,Shots inside the Box_away,Shots outside the Box_home,Shots outside the Box_away,Hit the Woodwork_home,Hit the Woodwork_away,Touches in opposition box_home,Touches in opposition box_away,Accurate through passes_home,Accurate through passes_away,Offsides_home,Offsides_away,Free Kicks_home,Free Kicks_away,Long passes_home,Long passes_away,Passes in final third_home,Passes in final third_away,Crosses_home,Crosses_away,Expected assists (xA)_home,Expected assists (xA)_away,Throw-ins_home,Throw-ins_away,Fouls_home,Fouls_away,Tackles_home,Tackles_away,Duels won_home,Duels won_away,Clearances_home,Clearances_away,Interceptions_home,Interceptions_away,Errors leading to shot_home,Errors leading to shot_away,Errors leading to goal_home,Errors leading to goal_away,Goalkeeper Saves_home,Goalkeeper Saves_away,xGOT faced_home,xGOT faced_away,Goals prevented_home,Goals prevented_away,Red Cards_home,Red Cards_away,Headed Goals_home,Headed Goals_away
1.70,0.57,30%,70%,13,8,5,0,3,1,2,9,76%,88%,1,2,,,6,6,2,2,8,6,5,2,1,0,22,24,,,2,3,15,12,,,60%,80%,67%,11%,,,10,17,12,15,50%,25%,,,32,9,15,7,,,,,0,2,,,,,,,,
0.98,0.65,37%,63%,10,6,3,4,1,2,2,3,67%,80%,4,4,,,5,0,2,2,7,4,3,2,0,0,16,18,,,3,2,20,9,,,58%,66%,19%,11%,,,19,19,9,20,68%,61%,,,43,36,7,7,,,,,2,1,,,,,1,1,0,1
1.37,1.12,67%,33%,23,14,4,5,2,2,4,3,84%,74%,3,1,,,9,6,10,3,15,9,7,5,0,1,35,25,,,0,1,10,11,,,76%,71%,30%,29%,,,19,11,11,10,78%,50%,,,14,34,3,11,,,,,4,2,,,,,,,,
1.04,0.81,46%,54%,12,7,7,4,2,1,5,2,86%,89%,2,0,,,2,3,3,0,8,5,4,2,0,1,17,15,,,3,1,7,6,,,77%,89%,8%,21%,,,14,14,6,7,46%,62%,,,20,21,6,6,,,,,3,2,,,,,,,0,1
2.06,0.86,54%,46%,20,13,4,2,2,2,10,3,82%,82%,0,1,,,10,5,6,6,14,8,6,5,1,0,49,21,,,0,1,11,4,,,76%,71%,29%,22%,,,17,13,4,11,71%,59%,,,11,49,6,11,,,,,0,4,,,,,,,,
1.31,2.61,66%,34%,17,11,2,3,1,4,11,0,81%,64%,3,1,,,6,7,9,1,12,8,5,3,1,1,59,22,,,0,1,13,12,,,77%,41%,32%,29%,,,18,18,12,13,67%,45%,,,20,45,12,13,,,,,1,2,,,,,,,,
1.57,0.51,32%,68%,8,10,5,3,4,1,5,8,82%,89%,2,3,,,3,2,0,5,6,4,2,6,0,0,12,19,,,6,3,13,20,,,67%,78%,7%,4%,,,13,14,20,13,60%,62%,,,32,13,14,1,,,,,3,3,,,,,,,,
1.00,2.66,49%,51%,14,19,3,7,4,3,3,3,80%,82%,2,3,,,8,5,3,7,8,12,6,7,2,0,28,33,,,4,1,9,15,,,73%,73%,24%,23%,,,14,19,15,9,37%,61%,,,23,25,10,10,,,,,5,3,,,,,,,,
2.35,0.39,47%,53%,13,9,7,1,7,0,5,6,81%,81%,,,,,4,2,2,6,11,5,2,4,1,0,33,16,,,3,1,13,7,,,64%,56%,33%,14%,,,24,13,7,13,62%,67%,,,27,16,5,8,,,,,1,3,,,,,,,,
1.55,1.01,57%,43%,15,9,6,4,2,1,1,2,85%,78%,0,3,,,5,1,4,4,8,6,7,3,1,0,27,15,,,0,4,14,11,,,76%,60%,21%,36%,,,25,9,11,14,50%,50%,,,16,28,3,8,,,,,2,5,,,,,,,,
